title,cover_image,ean,publication_date,summary,book_format,authors
Hoka Hey,9782810202294_C.jpg,9782810202294,26/10/2022,"Dès 1850, les jeunes amérindiens étaient internés de force dans des pensionnats catholiques pour les assimiler à la nation américaine. En 1900, la population des natifs en Amérique du Nord avait diminué de 93%. La plupart étaient morts de nouvelles maladies importées par les colons, d'exterminations subventionnés par l'état, et lors des déportations.Georges est un jeune Lakota élevé par le pasteur qui administre sa réserve. Acculturé, le jeune garçon oublie peu à peu ses racines et rêve d'un futur inspiré du modèle américain, en pleine expansion.Il va croiser la route de Little Knife, amérindien froid et violent à la recherche du meurtrier de sa mère. Accompagné de ses deux comparses, celui-ci arrache Georges à sa vie et l'embarque dans son périple. Au fil de leur voyage, l'homme et le garçon vont s'ouvrir l'un à l'autre et trouver ce qui leur est essentiel : l'apaisement de la colère par la transmission de sa culture pour l'un et la découverte de son identité et de ses origines pour l'autre.",24.3x32.2cm,Neyef (Auteur)
Un putain de salopard,9782810202478_C.jpg,9782810202478,26/10/2022,"Alors que Max et le manchot sont à la recherche de Baïa, en fuite à travers la jungle avec le capitaine Rego, ceux-ci sont eux-mêmes poursuivis par les hommes du chef du camp de travailleurs, Hermann, qui cherche à faire la lumière autour de la mort de sa fille. Les course-poursuites se croisent et se multiplient dans la jungle luxuriante mais toujours plus dangereuse. Sans compter que Max et le manchot – autrement dit le fils et le père – partagent désormais un autre secret : le trésor retrouvé dans l'épave de l'avion dans lequel la fille d'Hermann trouva la mort et que le manchot pilotait.",24.3x32cm,"Olivier Pont (Illustrateur), Régis Loisel (Scénariste), François Lapierre (Coloriste)"
Pas de baiser pour maman,9782810204472_C.jpg,9782810204472,12/10/2022,"S'il y a quelque chose que Jo n'aime pas, c'est d'être embrassé par sa tendre mère - Madame Chattemite - surtout si c'est devant les copains. « Des baisers ! Toujours des baisers ! » hurle Jo. « Je les déteste, je n'en veux pas ! Des baisers pour dire bonjour, bonsoir et merci ! Des baisers humides et poisseux, toujours des baisers ! » Comment Madame Chattemite s'y prendra-t-elle désormais pour témoigner sa grande affection maternelle ?En adaptant Pas de baiser pour maman en bande dessinée, Mathieu Sapin revisite un classique de la bibliographie de Tomi Ungerer, et rend hommage à une œuvre ayant le plus marqué son enfance et orienté sa carrière.",21.4x28.1cm,
Pas de baiser pour maman,9782810202898_C.jpg,9782810202898,12/10/2022,"S'il y a quelque chose que Jo n'aime pas, c'est d'être embrassé par sa tendre mère - Madame Chattemite - surtout si c'est devant les copains. « Des baisers ! Toujours des baisers ! » hurle Jo. « Je les déteste, je n'en veux pas ! Des baisers pour dire bonjour, bonsoir et merci ! Des baisers humides et poisseux, toujours des baisers ! » Comment Madame Chattemite s'y prendra-t-elle désormais pour témoigner sa grande affection maternelle ?En adaptant Pas de baiser pour maman en bande dessinée, Mathieu Sapin revisite un classique de la bibliographie de Tomi Ungerer, et rend hommage à une œuvre ayant le plus marqué son enfance et orienté sa carrière.",21.7x28.2cm,"Mathieu Sapin (Scénariste), Tomi Ungerer (D'après l’œuvre de)"
Avez-vous lu les classiques de la littérature ?,9782810203116_C.jpg,9782810203116,05/10/2022,"Soledad Bravi et Pascale Frey convoquent toujours avec humour et notre plus grand plaisir, une nouvelle sélection des plus grandes œuvres classiques françaises et étrangères !Redécouvrez Le Journal d'Anne Frank, La Chambre Jaune de Gaston Leroux, La Bête humaine d'Emile Zola, Moby Dick d'Herman Melville ou encore Gargantua de François Rabelais.",15.5x21.5cm,"Soledad Bravi (Auteur + illustrateur), Pascale Frey (Scénariste)"
Séraphine,9782810215270_C.jpg,9782810215270,05/10/2022,"Que faire de sa vie quand on a treize ans et qu'on est une fille pauvre, pas laide, sachant lire, sans autre protection que celle d'un vieux curé, d'une tante prostituée et d'une veuve ronchon ? Nonne ? Jamais. Séraphine est trop insolente. Couturière ? Non plus. Elle a trop envie de parler et de voir du monde. Peut-être qu'un jour les femmes pourront devenir juges, gendarmes ou avocats et faire de la politique... Peut-être même qu'un jour Dieu Lui-même sera une femme. Mais, pour l'instant, nous sommes en 1885, à Paris, ou plutôt à Montmartre. Le souvenir de la Commune est encore vif chez les uns. Les autres s'occupent de l'enterrer définitivement en bâtissant, là-haut sur la butte, le Sacré-Cœur. Et Séraphine ne voit qu'une solution pour mener la vie libre et sans misère dont elle rêve : s'en remettre à sainte Rita, la patronne des causes désespérées...",21.6x28.3cm,"Marie Desplechin (Auteur), Edith (Auteur + illustrateur)"
LowReader,9782810202515_C.jpg,9782810202515,28/09/2022,"LowReader est une série d'anthologie d'histoires courtes de suspense,
d'horreur et d'exploitation, dirigée par Run. Chaque numéro propose trois
histoires complètes. Au fil des pages, Lazare le corbeau jette un regard
cynique sur les histoires présentées, et fait office de fil rouge tout au long
du recueil. Les récits de LowReader sont entrecoupés d'articles, de billets
d'humeur, de fausses pubs… autant d'entractes destinés à donner des clés de
compréhension au lecteur, de le distraire, de l'amener sur de fausses pistes,
ou de faire retomber la pression avant un nouveau shot d'adrénaline. Une
nouvelle littéraire illustrée sera aussi de la partie dans chaque opus… Suivez
le corbeau ! 
● Parmi les laissés pour compte d'une
décharge à ciel ouvert, deux enfants livrés à eux-mêmes vont devoir trouver
leur place parmi des adultes ravagés par une nouvelle drogue. (Slum Kids,
par Petit Rapace) 
● Sous le vernis de strass de la K-pop,
une jeune chanteuse bercée de rêves va plonger en plein cauchemar en découvrant
l'envers sombre de cette industrie toxique. (Dark Reflection par RUN, Guillaume
Singelin et Pivwan) 
● Sur une route perdue où les disparitions
multiples de jeunes femmes n'inquiètent personne, Tamara, jeune autochtone de
la réserve Stony Creek No1 qui a choisi de ne pas vivre dans la peur, est prise
en stop par un agent de la RCMP. (Vanished par RUN et Ludovic Chesnot)",17x25cm,"Run (Scénariste et dessinateur), Collectif Label 619 (Auteur + illustrateur), Guillaume Singelin (Auteur + illustrateur), Petit Rapace (Auteur + illustrateur), Pivwan (Texte et illustration de), Ludovic Chesnot (Texte et illustration de)"
La Guerre invisible,9782369814580_C.jpg,9782369814580,21/09/2022,"Le conflit technologique se poursuit entre les forces occidentales et soviétiques. Au centre de ce combat, le savant allemand Manfred Fürbringer et son expertise inégalée en armement qui donnerait l'avantage immédiat au camp qui saurait utiliser ses talents. Après une première fuite en Egypte ainsi qu'une extradition vers les Etats- Unis, celui-ci se retrouve contre son gré embarqué en direction de l'Argentine. Les agents responsables de cette nouvelle prise de contrôle du savant, cachés derrière leur identité soviétique, sont en fait des membres d'une autre organisation faisant son entrée en scène : le Mossad, qui vient ajouter une nouvelle pierre à la complexité de cette guerre invisible.Ce troisième volet vient clôturer la saga d'espionnage de Frank Giroud, Laurent Galandon et Olivier Martin, éclairage romancé mais réaliste d'un conflit souterrain qui aura duré près de 50 ans.",24x32.1cm,"Olivier Martin (Illustrateur), Frank Giroud (Scénariste et dessinateur), Gaétan Georges (Coloriste), Laurent Galandon (Auteur)"
Philocomix,9782810201310_C.jpg,9782810201310,21/09/2022,"Le travail définit en grande partie notre identité, occupe une place majeure dans notre existence et constitue un marqueur essentiel de notre vie sociale. C'est de ce concept universel que s'emparent les auteurs de Philocomix pour enclencher de nouvelles réflexions sur le bonheur ! Est-ce qu'être un bon travailleur me suffit pour être heureux avec les autres ? La technique, source de progrès, permet-elle de vivre mieux et d'être plus heureux ? Puis-je être heureux si on ne me garantit pas la propriété du fruit de mon travail ? Autant de questions pour lesquelles sont convoqués René Descartes, Karl Marx ou encore Adam Smith au travers de 10 nouvelles approches philosophiques courtes afin de nous éclairer sur la place du travail dans notre société et dans nos vies personnelles.",18.9x25.5cm,"Jean-Philippe Thivet (Scénariste), Jérôme Vermer (Scénariste), Mathieu La Mine (Illustrateur)"
Astrid Bromure,9782810215133_C.jpg,9782810215133,21/09/2022,"Leurs parents sortis pour le dîner, Astrid et ses demi-cousins, les jumeaux William et Willem ainsi que bébé Bertie, doivent passer la soirée ensemble au domicile des Bromure.
La baby-sitter pressentie ayant renoncé face à l'ampleur de la tâche, les parents d'Astrid engagent en dernière minute, Patience, la nièce de Mademoiselle Poppyscoop. Débutante, la jeune femme est très professionnelle mais bien mystérieuse...
Les voici réunis pour une soirée où les idées de jeux et d'activités plus ou moins autorisés ne manquent pas… et parfois même la magie semble prendre le pas sur la réalité…",21.6x28.2cm,"Fabrice Parme (Auteur + illustrateur), Véronique Dreher (Coloriste)"
Les Contrées salées,9782810202607_C.jpg,9782810202607,21/09/2022,"Lorsque Elber, le frère aîné de Vonceil, revient à la ferme familiale de l'Oklahoma après avoir servi sur les lignes de front de la Première Guerre mondiale, les choses ne se passent pas comme elle l'espérait. L'expérience traumatisante de la guerre l'ont transformé en homme austère et responsable qui n'a plus de temps à lui consacrer. Alors qu'il vient d'épouser la fille qu'il avait laissée derrière lui, surgit une femme en blanc mystérieuse et captivante qui accuse Elber de l'avoir abandonnée en France. Lorsqu'il refuse de quitter sa femme, elle jette un sort au puits familial, qui transforme les réserves d'eau pure de la ville en eau salée. Qui est cette dame en blanc, qu'a-t-elle fait à la ferme et que sait le vieil oncle Dell de Vonceil à son sujet ? Pour le savoir, Vonceil va devoir affronter le monde de la sorcellerie peuplé de parents dangereux, d'animaux métamorphosés, d'une capricieuse sorcière du sucre et de la Dame en blanc, la sinistre sorcière du sel. Au cours de ce voyage épique qui va la transformer, la jeune fille en apprendra beaucoup sur l'amour et sur ce que cela signifie de grandir.Les Contrées salées est un conte de fées graphique magnifiquement illustré par Rebecca Mock sur un scénario de Hope Larson, autrice de All Summer Long, nominé pour le prix Eisner, et de A Wrinkle in Time: The Graphic Novel, lauréat du prix Eisner.",18.7x25.5cm,"Alice Delarbre (Traducteur), Hope Larson (Auteur), Rebecca Mock (Illustrateur)"
La longue marche des dindes,9782810213658_C.jpg,9782810213658,07/09/2022,"Missouri, été 1860. Après avoir quadruplé son CE1 à 15 ans, Simon diplômé d'office par Miss Rogers se voit refuser l'entrée en CE2 et doit gentiment déployer ses ailes. Aussi, le soir même de cette mauvaise nouvelle, lorsqu'il apprend que les dindes sur pattes valent 20 fois plus à Denver que chez lui, il décide d'acquérir 1000 têtes pour les convoyer sur 1000 kilomètres et prouver ainsi qu'il a le sens des affaires. Il recrute pour l'escorter une équipe improbable avec laquelle il va devoir traverser le désert, affronter les rocheuses et négocier avec les Indiens ! Ces derniers accepteront-ils de laisser passer cette étrange caravane qui doit atteindre Denver pour y faire fortune ?Le magnifique roman de Kathleen Karr adapté par l'autrice du brillant Anaïs Nin : sur la mer des mensonges, Léonie Bischoff, qui signe son premier titre jeunesse.",21.7x28.2cm,"Léonie Bischoff (Auteur + illustrateur), Kathleen Karr (D'après l’œuvre de)"
Chaplin,9782369814658_C.jpg,9782369814658,31/08/2022,"Après avoir connu ascension fulgurante, succès incontesté et premiers échecs, Charlie Chaplin traverse, à l'aube de ses 40 ans, une période de doutes. Désintéressé par les louanges d'Hollywood, et surtout marqué par la misère sociale et l'instabilité politique grandissante, le prodige du cinéma envisage de mettre un terme à sa carrière. C'est sa rencontre avec l'actrice Paulette Goddard qui lui donnera un nouveau souffle créatif et lui permettra de prendre le virage dont son oeuvre avait besoin. Délaissant la comédie au profit d'un ton plus engagé, Chaplin s'attelle à ce qui resteront ses films les plus marquants : Les Temps Modernes et Le Dictateur.",24.2x32cm,"Laurent Seksik (Scénariste), David François (Illustrateur)"
A Short Story,9782810203017_C.jpg,9782810203017,31/08/2022,"A Short Story retrace avec un souci du détail sans précédent la vraie histoire d'Elizabeth Short, plus connue sous le pseudonyme du Dahlia Noir, qui avait quitté son Massachusetts natal pour s'installer à Los Angeles, envisageant une carrière de star hollywoodienne.
L'histoire et les dialogues, écrits d'après les documents déclassifiés du FBI, retrace la vie de cette jeune femme perdue dans Hollywood, en particulier les 3 mois qui ont précédé son horrible assassinat, et repose sur les témoignages recoupés de gens l'ayant connue et côtoyée.
De son séjour au Figueroa Hotel avec Marjorie Grahams, à l'incident des trois de San Diego, un récit méticuleusement documenté, loin des clichés habituels sur une figure féminine dont on pensait tout connaître.",24.3x32cm,"Florent Maudoux (Illustrateur), Run (Scénariste et dessinateur)"
A Short Story (noir et blanc),9782810203154_C.jpg,9782810203154,31/08/2022,"A Short Story retrace avec un souci du détail sans précédent la vraie histoire d'Elizabeth Short, plus connue sous le pseudonyme du Dahlia Noir, qui avait quitté son Massachusetts natal pour s'installer à Los Angeles, envisageant une carrière de star hollywoodienne.
L'histoire et les dialogues, écrits d'après les documents déclassifiés du FBI, retrace la vie de cette jeune femme perdue dans Hollywood, en particulier les 3 mois qui ont précédé son horrible assassinat, et repose sur les témoignages recoupés de gens l'ayant connue et côtoyée.
De son séjour au Figueroa Hotel avec Marjorie Grahams, à l'incident des trois de San Diego, un récit méticuleusement documenté, loin des clichés habituels sur une figure féminine dont on pensait tout connaître.",24.2x32.1cm,"Florent Maudoux (Illustrateur), Run (Scénariste et dessinateur)"
Elvira & Otto,9782810203772_C.jpg,9782810203772,31/08/2022,"Les safaris, avec tous ces touristes bouche bée qui affluent sans cesse, c'est pénible ! Mais ces singes nus dans leurs jeeps bruyantes ont quelque chose de fascinant. Lorsque la gazelle Elvira et Otto l'éléphant, un couple pas comme les autres, rencontrent un curieux scarabée plat noir qui se présente à eux sous le nom de Siri, une grande aventure commence pour eux. Parce que Siri leur montre des images du monde des touristes : des magasins, des rues, un grand train dans un tunnel appelé « métro ». Un monde qu'ils rêveraient de découvrir de leurs yeux…Avec Elvira et Otto, qui aimeraient découvrir la jungle urbaine, Martin Baltscheit et Max Fiedler créent un couple irrésistible qui nous offre un regard sans complaisance sur nos existences d'êtres « civilisés ».",21.6x28.2cm,"Martin Baltscheit (Auteur + illustrateur), Max Fiedler (Auteur + illustrateur), Claire Paq (Coloriste), Anne Bideault (Traducteur)"
La Bibliothécaire d'Auschwitz,9782810201259_C.jpg,9782810201259,31/08/2022,"À quatorze ans, Dita Adlerova vit dans le ghetto de Terezín, à Prague. Déportée avec sa famille dans le camp de concentration le plus meurtrier de la Seconde Guerre mondiale : Auschwitz, elle rencontre Fredy Hirsch, éducateur juif qui lui propose de devenir la « Bibliothécaire d'Auschwitz ». Risquant sa vie pour que petits et grands puissent s'évader, Dita accepte de cacher et protéger les huit précieux volumes que les prisonniers ont réussi à dissimuler aux gardiens du camp. Mais elle doit faire preuve d'une extrême prudence car le docteur Mengele, célèbre pour ses atrocités, la surveille de très près.",24.1x32.1cm,"Salva Rubio (Scénariste), Loreto Aroca (Illustrateur), Antonio G. Iturbe (D'après l’œuvre de), Lise Gallot (Traducteur)"
Pearl et le monstre marin,9782810202966_C.jpg,9782810202966,15/06/2022,"Entre l'absence d'une mère ayant disparue et les difficultés financières d'un père ne parvenant plus à trouver de travail, Pearl s'évade grâce à la plongée sous-marine. Un jour où elle s'aventure sur des territoires interdits à la pêche, elle découvre réfugiée dans une grotte une créature extraordinaire : une pieuvre géante, qu'elle appelle affectueusement Otto, et avec qui elle noue un lien d'amitié fort.
La présence de son nouveau compagnon n'échappe pas aux braconniers et marins du villages, qui reconnaissent en Otto le responsable d'un naufrage causé il y a plusieurs années par la bête qui tentaient d'échapper aux pêcheurs.
L'amitié improbable d'une jeune fille et d'un gigantesque animal marin résistera-t-elle à la colère aveugle des hommes ?",18.6x25.5cm,"Alice Delarbre (Traducteur), Willem Samuel (Illustrateur), Anthony Silverston (Scénariste), Raffaela Delle Donne (Scénariste), Clyde Beech (Coloriste)"
Pepper Page,9782810200559_C.jpg,9782810200559,15/06/2022,"Pepper Page, une jeune orpheline de 15 ans, n'aspire qu'à une chose : s'évader de son quotidien en trouvant refuge dans les bandes dessinées de son héroïne favorite, Supernova.
Une expérience scientifique aux résultats inattendus menée par le Professeur Killian, son enseignant en science, va la propulser dans la peau et dans l'univers de sa super-héros fétiche.
Accompagnée de Mister McKittens, un chat transporté malencontreusement avec elle dans cet univers fantastique, Pepper va être confrontée à la vie pleine d'action, d'aventure et de mystère d'une vraie héroïne… et comprendre par la même occasion que la réalité est parfois plus étrange que la fiction !",18.8x25.7cm,"Alice Delarbre (Traducteur), Eric Jones (Illustrateur), Landry Q. Walker (Scénariste)"
Aquarica,9782369816799_C.jpg,9782369816799,11/05/2022,"John Greyford et le Lieutenant O'Bryan sont à bord de l'étrange submersible d'Aquarica, en route vers la lointaine terre natale de cette dernière, supposée se situer sur le dos d'une gigantesque baleine. Au terme de leur voyage se dévoile à eux un monde nouveau, hors de toute réalité connue, mais à l'équilibre fragile. Un monde que Baltimore et ses hommes, animés par leur désir de vengeance, ont bien l'intention de faire disparaître.
Une course-poursuite s'engage alors entre le baleinier de ces derniers et nos trois héros, avec pour enjeu la survie de tout un peuple.
Parviendront-ils à stopper la folie de ces hommes esseulés par leurs malheurs et leurs croyances ?
Entre fable écologique et récit d'aventure, la réunion de deux auteurs majeurs de la bande dessinée autour d'une histoire à portée universelle.",24.3x32.1cm,"Benoît Sokal (Auteur + illustrateur), François Schuiten (Auteur + illustrateur)"
Mortel imprévu,9782810202676_C.jpg,9782810202676,11/05/2022,"Mariée à un riche mais violent médecin de Londres, Edith décide de partir en secret vers la lointaine Amérique pour une nouvelle vie, et y fera la rencontre de Hans, un charpentier dont elle tombe rapidement amoureuse. Poussée par ses sentiments, elle décide de suivre ce dernier dans sa ruée vers l'or, dans le grand nord canadien.
Sur place, ils établiront un camp avec trois hommes rencontrés durant leur voyage. Malgré ses personnalités éclectiques, le groupe d'apparence soudé entreprend d'affronter le rude hiver, son froid glacial et les loups affamés rôdant aux alentours.
Mais l'isolement et l'avidité peuvent aussi pousser bien des hommes vers les plus sombres et primitifs de leurs aspects…",23.9x32cm,Dominique Monféry (Auteur + illustrateur)
Optic Squad,9782810200252_C.jpg,9782810200252,11/05/2022,"Prise au piège et menacée dans ses fonctions, Annette Smith, responsable des Optic Squad, tente de doubler sa hiérarchie corrompue tout en maintenant le fonctionnement de sa section d'élite anti-criminelle.
Dans l'impasse, elle n'a d'autre choix que de monter un plan allant à l'encontre du protocole établi de l'organisation, mais nécessaire à sa survie : placer dans le plus grand des secrets sa meilleure recrue, Katryn Horst, sur une mission visant à contrecarrer les plans de ses nouveaux « employeurs ».
Les espoirs des Optic Squad reposent sur Katryn qui, envoyée à New York, sa ville natale, se met en parallèle sur la trace de ses parents l'ayant vendue étant enfant…",24.1x32cm,"Stéphane Astier (Coloriste), Stéphane Bervas (Illustrateur), Sylvain Runberg (Scénariste)"
Les Vous,9782810202133_C.jpg,9782810202133,11/05/2022,"Dans un village tranquille des Alpes italiennes, un énorme rocher se décroche de la montagne et cause la mort d'un pêcheur. Les anciens disent que c'est la Main de Pierre, qui protégeait la région des esprits. Simple légende ? Pourtant, des vagues agitent la surface du lac. Un champion de kayak chavire sans raison. Une femme entend soudain son mari mort il y a plus de vingt ans. Et un gardien trouve des empreintes… mais de quoi ? Blu, une jeune fille aux yeux couleur d'eau, a l'impression que des voix essaient de lui parler. Qui êtes-vous, les Vous ?",21x27.4cm,"Nicolas Pitz (Illustrateur), Davide Morosinotto (Auteur)"
Les Pionniers,9782810212705_C.jpg,9782810212705,20/04/2022,"""1894. Paris est au centre du monde. Artistes, inventeurs et industriels se fréquentent dans une grande fièvre. La technique est au centre de toutes les préoccupations. Les arts, comme l'économie ou les sciences, se rationalisent. Le monde entier semble en passe d'être mécanisé...
Six personnes détiennent le même secret. Une invention démoniaque dont ils cherchent à comprendre le sens et maîtriser la puissance. Ils sont ingénieur, fils de boucher, magicien, forain ou jeune secrétaire-sténographe. Ils sont jeunes, rêveurs, ambitieux et vont devoir se démarquer. Ils se nomment Léon Gaumont, Charles Pathé, Georges Méliès, Louis et Auguste Lumière ou Alice Guy. Et leur enjeu s'appelle le Cinéma.""",24.4x32.3cm,"Jean-Baptiste Hostache (Illustrateur), Damien Maric (Auteur de l'idée originale), Guillaume Dorison (Scénariste), Jean-Baptiste Merle (Coloriste)"
Nettoyage à sec,9782810201709_C.jpg,9782810201709,20/04/2022,"François n'a pas la vie dont il rêve. Il vit seul, dans une ville où il pleut sans cesse, et travaille depuis des années comme chauffeur dans une blanchisserie sans obtenir la moindre augmentation. Ses loisirs se résument à jouer les mêmes numéros au loto chaque semaine depuis 17 ans sans résultat, et à prendre une pinte de bière fraîche au Monico où il rencontre fréquemment Maryvonne, avec qui il aimerait nouer une relation plus intime.
Une banale livraison l'amène un jour à frapper à la porte d'une grande maison, théâtre d'une scène de crime dont les vestiges se résument en une dizaine de cadavres et un sac rempli de billets de banque. Chanceux pour la première fois, François décide de prendre le
sac… et les ennuis qui vont avec.",24.1x32cm,"Joris Mertens (Auteur + illustrateur), Maurice Lomré (Traducteur)"
Mauve,9782369815068_C.jpg,9782369815068,20/04/2022,"Mais… mais qu'est-ce qui se passe, en ce moment ?
Pome est d'une humeur terrible et Verte reste enfermée dans sa chambre. On les connaît pourtant, cela ne leur ressemble pas du tout.
Une crise d'adolescence ? Ce serait trop facile. La fatigue ? Certainement pas.
Et lorsque Pome rentre avec un bleu au visage, le doute n'est plus permis : quelque chose ne tourne pas rond. Depuis l'arrivée de la nouvelle au collège, tout semble détraqué.
Une nouvelle… quelle nouvelle ? Verte et Pome refusent d'en parler. Dès que l'on prononce son prénom, une scolopendre surgit !
Mais que fait la police dans ces cas-là ?
Et que font les sorcières ?",21.7x28.2cm,"Marie Desplechin (Auteur), Magali Le Huche (Illustrateur)"
Moon,9782810214228_C.jpg,9782810214228,23/03/2022,"En bord de Méditerranée, lorsque les vacances sont terminées, les estivants désertent les plages et hors-saison, chacun tue le temps comme il peut en attendant le mois de juillet.
C'est au coeur de ce quotidien où l'ennui n'est jamais loin que vivent Gabriel, surnommé Cosmos car il semble venir d'une autre galaxie, et Luna, fille populaire, redoutée et admirée sur les réseaux sociaux.
Le jour où la foudre s'abat sur l'antenne-relais de la station balnéaire : Internet, téléphones et réseaux sociaux sont coupés et le blues s'abat définitivement sur la petite bande à laquelle ils appartiennent.
Obligés de faire bouger les lignes qui régissaient jusqu'ici la cour du collège, ils vont apprendre dans ces conditions à réinventer leur quotidien 2.0.
Un récit d'une grande justesse et aux dialogues percutants sur l'adolescence, ou comment faire face à l'autre, dans le jeu du paraître et le besoin de lien social.",21.7x28.2cm,"Cyrille Pomès (Auteur + illustrateur), Isabelle Merlet (Coloriste)"
Ce que nous sommes,9782810204984_C.jpg,9782810204984,16/03/2022,"Grâce au projet DataBrain, les humains disposent à la naissance d'un 
second cerveau numérique où sont directement uploadées des connaissances
 et des expériences virtuelles plus vraies que nature. Avec de simples 
programmes à télécharger, apprendre de nouvelles langues ou même 
assimiler la totalité du savoir de l'humanité n'a jamais été aussi 
simple et rapide. Du moins si, comme Constant, on en a les moyens.
Mais un jour, à la suite d'un piratage informatique, il s'évanouit et se
 réveille en forêt, loin de la ville protégée, en ayant perdu tout son 
savoir et ses souvenirs. Démuni, il est recueilli par Hazel, jeune femme
 vivant en marge de la société, qui va l'aider à se reconstruire et à 
retrouver son passé.
Constant va donc partir sur les traces de son identité réelle et 
découvrir au passage les facultés extraordinaires de son cerveau... 
humain.",24.2x32.1cm,Zep (Auteur + illustrateur)
L'espace d'un instant,9782810203123_C.jpg,9782810203123,16/03/2022,"Après avoir sauvé sa professeure d'art d'un assaillant armé à l'école, Manuel Soto doit faire face au Syndrome Post Traumatique. Pour lutter contre son anxiété, il utilise l'appareil photo de son téléphone portable pour trouver les points d'ancrage qui lui permettent de garder les pieds sur terre. Ses journées sont monotones et solitaires, jusqu'à ce que dans le cadre d'un projet scolaire, il fasse équipe avec ses camarades de classe, Sebastian et Caysha. À leur contact, le jeune collégien qui découvre la campagne, s'ouvre à la beauté de la nature et finit par y trouver le réconfort dont il a besoin…
Un album délicat et généreux dans lequel l'autrice dépeint avec finesse les sentiments adolescents dans cette vie isolée que leur impose la ruralité",18.8x25.5cm,"Niki Smith (Auteur + illustrateur), Marc Lesage (Traducteur)"
Cadres noirs,9782369810759_C.jpg,9782369810759,16/02/2022,"Alain Delambre est un cadre de cinquante-sept ans anéanti par quatre années de chômage sans espoir. Ancien DRH, il accepte des petits jobs démoralisants. Aussi quand un employeur, divine surprise, accepte enfin d'étudier sa candidature, Alain Delambre est prêt à tout, à emprunter de l'argent, à se disqualifier aux yeux de sa femme, de ses filles et même à participer à l'ultime épreuve de recrutement : un jeu de rôle sous la forme d'une prise d'otages.",24x32cm,"Pierre Lemaitre (Scénariste), Pascal Bertho (Scénariste), Giuseppe Liotti (Illustrateur)"
Get Up America,9782810202393_C.jpg,9782810202393,16/02/2022,"Il y a ceux qui refusent d'aller plus loin dans la résistance et ceux qui considèrent que le changement n'est pas allé assez loin. Suite directe de Wake Up America, ce nouveau récit reprend en 1965, après la signature de la Loi sur les droits de vote. A ce moment-là, John Lewis et ses camarades sont de nouveau arrêtés alors que le Ku Klux Klan prépare sa plus grande marche masquée depuis des années. Méticuleusement documenté et mis à jour, Lewis raconte les combats gagnés et les doutes d'un mouvement de lutte pour sauvegarder les acquis juridiques durement gagnés et devenir une force électorale pendant que la guerre du Vietnam occupe le paysage médiatique américain. Bien souvent, l'Histoire ne va pas au-delà des victoires, John Lewis nous montre ici qu'elles ne sont en fait que le début d'autres combats à venir.",18.5x25.4cm,"Fanny Soubiran (Traducteur), Nate Powell (Illustrateur), L. Fury (Illustrateur), John Lewis (Auteur), Andrew Aydin (Scénariste)"
Babyface,9782810200290_C.jpg,9782810200290,16/02/2022,"Dans la cité, ceux qui ne méprisent pas Nejma se comptent sur les doigts
 d'une main : son voisin Freddy, sa mère, et Isidore, le vigile du 
supermarché. Emmitouflée sous son bonnet, la petite fille dissimule son 
mal-être avec insolence et méchanceté. immédiatement désignée comme 
coupable lorsque Jonathan est grièvement blessé dans la cour, Nejma se 
laisse accuser, impuissante...",17.5x24.2cm,"Olivier Balez (Illustrateur), Marie Desplechin (Auteur)"
Funérailles - Tome 7,9782810202669_C.jpg,9782810202669,26/01/2022,"La série arrive à un tournant dans ce tome 7. Les fils de Spartacus sont séparés par les événements alors que Scipio doit gérer une guerre civile qui déchire REM, Pretorius devenu Funérailles se retrouve bombardé, sans le vouloir, gourou d'une secte millénariste. La XIIIème légion devra faire appel à ses meilleurs éléments pour venir en aide aux jumeaux qui sont à deux doigts d'emprunter les chemins qui mènent aux secrets les plus intimes de REM la grande, la puissante... La folle.Cet opus relie définitivement Funérailles à sa série-mère, Freaks' Squeele. On apprend comment le croque-mitaine et mentor de l'école de super-héros s'est taillé un physique hors-norme. Tout ce qui a été installé dans les 6 précédents tomes va pouvoir s'exprimer dans la suite de la série et ce 7ème volume n'est que le début d'un arc final plein de rebondissements et de fureur.",19.7x27.8cm,Florent Maudoux (Illustrateur)
