title,cover_image,ean,publication_date,summary,book_format,authors
Louve T1,9782810210022_C.jpg,9782810210022,12/03/2025,"Il était une fois, un frère et une sœur pas comme les autres qui habitaient une région reculée dans laquelle les humains ne s'aventuraient presque jamais : le Mont Gémissant. Ces deux bergers aspiraient à vivre en paix et ce, malgré la malédiction qui touche la sœur, qui a le physique d'une imposante louve...",15.2x20.8cm,"Miyako Miiya (Texte et illustration de), Cyril Coppini (Traduction de)"
Ochibi et ses amis T1,9782810208913_C.jpg,9782810208913,12/03/2025,"Ochibi aime profiter de chaque instant que lui offre la vie. Avec ses amis Kézako et Croque-Miche, ils ne s'ennuient jamais ! C'est un plaisir de les suivre dans leurs aventures simples du quotidien, où tout devient prétexte à l'humour, à l'émerveillement et à la dégustation.",15.2x20.9cm,"Anaïs Koechlin (Traduction de), Moyoco Anno (Texte et illustration de)"
Le choix de Sam,9782810207947_C.jpg,9782810207947,26/02/2025,"Kix rencontre un splendide chien d'une blancheur éclatante qu'il choisit de nommer Sam. Le garçon et le mystérieux animal se prennent très vite d'amitié l'un pour l'autre. Pourtant, Kix est inquiet. Et si le propriétaire de Sam le réclamait ? Au cours d'une terrible nuit pleine de rebondissements, le garçon va prouver combien il aime ce chien.",21.7x28.3cm,"Nicolas Pitz (Illustrateur), Edward van de Vendel (D'après l’œuvre de)"
Les Nouvelles aventures de Petit Vampire T1 - La Grosse bêtise de Marguerite,9782810206964_C.jpg,9782810206964,26/02/2025,"Comment connaître la date de naissance d'un monstre fabriqué à partir des bouts cousus de tas de gens différents ? On ne peut pas ! Alors, quand Marguerite est trop triste de ne pas avoir sa fête d'anniversaire, on lui en organise une. Cette fois, on lui a offert une guitare. Marguerite a commencé à gratter les cordes, et on s'est tous aperçus qu'il ne savait pas en jouer…",19.2x26.4cm,"Joann Sfar (Auteur + illustrateur), Laurent Rivelaygue (Scénario de), Sess (Illustration de)"
Les Nouvelles aventures de Petit Vampire T2 - Les vacances d'Albert,9782810206971_C.jpg,9782810206971,26/02/2025,"Albert, le squelette de la classe de Michel, est toujours déprimé quand arrivent les vacances d'été. Il va de nouveau se retrouver tout seul avec son chagrin pendant deux longs mois. Petit Vampire et Michel emmènent donc Albert en vacances en Bretagne. Le problème, c'est qu'en tant que squelette qui ne quitte jamais l'école, il n'est vraiment pas rigolo...",19.2x26.4cm,"Joann Sfar (Auteur + illustrateur), Sess (Illustration de), Pauline Pinson (Scénario de)"
Le Chevalier du Patthéon,9782810201723_C.jpg,9782810201723,12/02/2025,"Après avoir sauvé un chien d'adolescents cherchant à le brutaliser, rien ne laissait présager à Frankie que le sympathique golden retriever faisait partie d'un groupe de chien super-héros, et qu'il l'emmènerait au sein de leur monde magique pour relever un défi : devenir le chevalier des chiens et se battre à leurs côtés pour sauver le monde des forces du chaos.",18.5x25.4cm,"Fanny Soubiran (Traducteur), Jeremy Whitley (Scénario de), Bre Indigo (Illustration de), Melissa Capriglione (Couleurs de)"
Le Grand Monde,9782810204861_C.jpg,9782810204861,22/01/2025,"Beyrouth, 1948. Les enfants de la famille Pelletier quittent le foyer familial en quête de sens et d'indépendance. De Paris à Saigon, toutes et tous vont se confronter aux réalités de la vie, dans le monde fracturé de l'après-guerre. Après la fresque des Enfants du désastre, Christian de Metter poursuit son remarquable travail d'adaptation de l'œuvre de Pierre Lemaitre.",21.7x28.2cm,"Christian de Metter (Auteur + illustrateur), Pierre Lemaitre (Scénariste)"
Shin Zero T1,9782810209651_C.jpg,9782810209651,22/01/2025,"Il y a 20 ans, le dernier Kaiju, monstre géant venu des mers, a été vaincu par les Sentai, un groupe de justiciers colorés. Aujourd'hui, les Sentai ne sont plus que l'ombre d'eux-mêmes, relégués à des petits boulots mal payés. Warren, Nikki, Heloïse, Satoshi et Sofia essayent de trouver leur place dans ce monde désabusé, où les héros ont disparu.",15.3x21.1cm,"Mathieu Bablet (Auteur + illustrateur), Guillaume Singelin (Auteur + illustrateur)"
Les Chants du chaos T1 : Semailles,9782810206148_C.jpg,9782810206148,15/01/2025,"Depuis plus de dix ans les Drévossènes vivent coupés du monde, isolés par le Haut-Mur et ses portes scellées. Dix ans que le prince Ivan traque les errants qui déciment son peuple. Mais à ses yeux, c'est une menace bien plus dangereuse que ses patrouilleurs viennent de découvrir en pleine zone infestée : un étranger venu de l'Extérieur. Candide. Indemne. L'innocence même…",24.2x32cm,ELK (Texte et illustration de)
"Mimosa, Momo et Moi",9782810207800_C.jpg,9782810207800,15/01/2025,"Les pastèques, les échasses, les scarabées, les trains, les bouteilles de lait, les pierres toutes lisses… tout est source d'amusement pour Ken. Ce petit bonhomme de 5 ans, son chat Momo et son canard Mimosa vivent la belle vie à la campagne, entre plaisir et insouciance.Une tranche de vie familiale, enfantine et animalière tout en couleurs qui ravira petits et grands !",15.3x20.9cm,"Nekomaki (Texte et illustration de), Gaëlle Ruel (Traduction de)"
